Number,Signal,IOStandard
R26,HB_N<16>,LVDS
J27,HB_N<17>,LVDS
P31,HB_N<18>,LVDS
K28,HB_N<19>,LVDS
B27,HB_N<2>,LVDS
M32,HB_N<20>,LVDS
M28,HB_N<21>,LVDS
B25,HB_N<3>,LVDS
E28,HB_N<4>,LVDS
F25,HB_N<5>,LVDS
J26,HB_N<6>,LVDS
D26,HB_N<7>,LVDS
E27,HB_N<8>,LVDS
G28,HB_N<9>,LVDS
G26,HB_P<0>,LVDS
D27,HB_P<1>,LVDS
M25,HB_P<10>,LVDS
L24,HB_P<11>,LVDS
P25,HB_P<12>,LVDS
P24,HB_P<13>,LVDS
R27,HB_P<14>,LVDS
T24,HB_P<15>,LVDS
T26,HB_P<16>,LVDS
K27,HB_P<17>,LVDS
R31,HB_P<18>,LVDS
L28,HB_P<19>,LVDS
C27,HB_P<2>,LVDS
N32,HB_P<20>,LVDS
M27,HB_P<21>,LVDS
C25,HB_P<3>,LVDS
F28,HB_P<4>,LVDS
G25,HB_P<5>,LVDS
K26,HB_P<6>,LVDS
D25,HB_P<7>,LVDS
E26,HB_P<8>,LVDS
H28,HB_P<9>,LVDS
AL19,IOFPGA_CSO,LVCMOS18
AM19,IOFPGA_D<4>,LVCMOS18
AM18,IOFPGA_D<5>,LVCMOS18
AN20,IOFPGA_D<6>,LVCMOS18
AP20,IOFPGA_D<7>,LVCMOS18
AM12,IOFPGA_NRST,LVCMOS18
AW17,IOFPGA_nSEL,LVCMOS18
AM13,IOFPGA_NSPIR,LVCMOS18
AJ12,IOFPGA_SYSWDT,LVCMOS18
E38,LA_N<0>,LVDS
F36,LA_N<1>,LVDS
A35,LA_N<10>,LVDS
A36,LA_N<11>,LVDS
B37,LA_N<12>,LVDS
B32,LA_N<13>,LVDS
D32,LA_N<14>,LVDS
B30,LA_N<15>,LVDS
A33,LA_N<16>,LVDS
G32,LA_N<17>,LVDS
G37,LA_N<18>,LVDS
D31,LA_N<19>,LVDS
D39,LA_N<2>,LVDS
C29,LA_N<20>,LVDS
E34,LA_N<21>,LVDS
E33,LA_N<22>,LVDS
E29,LA_N<23>,LVDS
H37,LA_N<24>,LVDS
H35,LA_N<25>,LVDS
G35,LA_N<26>,LVDS
G33,LA_N<27>,LVDS
G38,LA_N<28>,LVDS
J37,LA_N<29>,LVDS
C40,LA_N<3>,LVDS
H40,LA_N<30>,LVDS
J40,LA_N<31>,LVDS
F40,LA_N<32>,LVDS
F39,LA_N<33>,LVDS
B40,LA_N<4>,LVDS
C35,LA_N<5>,LVDS
A38,LA_N<6>,LVDS
A40,LA_N<7>,LVDS
C37,LA_N<8>,LVDS
C34,LA_N<9>,LVDS
E37,LA_P<0>,LVDS
F35,LA_P<1>,LVDS
A34,LA_P<10>,LVDS
B35,LA_P<11>,LVDS
B36,LA_P<12>,LVDS
B31,LA_P<13>,LVDS
E32,LA_P<14>,LVDS
C30,LA_P<15>,LVDS
B33,LA_P<16>,LVDS
H32,LA_P<17>,LVDS
G36,LA_P<18>,LVDS
E31,LA_P<19>,LVDS
E39,LA_P<2>,LVDS
D29,LA_P<20>,LVDS
F34,LA_P<21>,LVDS
F33,LA_P<22>,LVDS
F29,LA_P<23>,LVDS
J36,LA_P<24>,LVDS
J35,LA_P<25>,LVDS
H34,LA_P<26>,LVDS
H33,LA_P<27>,LVDS
H38,LA_P<28>,LVDS
K37,LA_P<29>,LVDS
D40,LA_P<3>,LVDS
H39,LA_P<30>,LVDS
J39,LA_P<31>,LVDS
G40,LA_P<32>,LVDS
F38,LA_P<33>,LVDS
C39,LA_P<4>,LVDS
D35,LA_P<5>,LVDS
B38,LA_P<6>,LVDS
A39,LA_P<7>,LVDS
D37,LA_P<8>,LVDS
D34,LA_P<9>,LVDS
AG8,MGT_CLKN<0>,DIFF_HSTL_I_18 (Default)
AN8,MGT_CLKN<1>,DIFF_HSTL_I_18 (Default)
AG9,MGT_CLKP<0>,DIFF_HSTL_I_18 (Default)
AN9,MGT_CLKP<1>,DIFF_HSTL_I_18 (Default)
BC46,MGT0_RXN<0>,DIFF_HSTL_I_18 (Default)
BA46,MGT0_RXN<1>,DIFF_HSTL_I_18 (Default)
AE46,MGT0_RXN<10>,DIFF_HSTL_I_18 (Default)
AD44,MGT0_RXN<11>,DIFF_HSTL_I_18 (Default)
AW46,MGT0_RXN<2>,DIFF_HSTL_I_18 (Default)
AU46,MGT0_RXN<3>,DIFF_HSTL_I_18 (Default)
AR46,MGT0_RXN<4>,DIFF_HSTL_I_18 (Default)
AN46,MGT0_RXN<5>,DIFF_HSTL_I_18 (Default)
AL46,MGT0_RXN<6>,DIFF_HSTL_I_18 (Default)
AJ46,MGT0_RXN<7>,DIFF_HSTL_I_18 (Default)
AG46,MGT0_RXN<8>,DIFF_HSTL_I_18 (Default)
AF44,MGT0_RXN<9>,DIFF_HSTL_I_18 (Default)
BC45,MGT0_RXP<0>,DIFF_HSTL_I_18 (Default)
BA45,MGT0_RXP<1>,DIFF_HSTL_I_18 (Default)
AE45,MGT0_RXP<10>,DIFF_HSTL_I_18 (Default)
AD43,MGT0_RXP<11>,DIFF_HSTL_I_18 (Default)
AW45,MGT0_RXP<2>,DIFF_HSTL_I_18 (Default)
AU45,MGT0_RXP<3>,DIFF_HSTL_I_18 (Default)
AR45,MGT0_RXP<4>,DIFF_HSTL_I_18 (Default)
AN45,MGT0_RXP<5>,DIFF_HSTL_I_18 (Default)
AL45,MGT0_RXP<6>,DIFF_HSTL_I_18 (Default)
AJ45,MGT0_RXP<7>,DIFF_HSTL_I_18 (Default)
AG45,MGT0_RXP<8>,DIFF_HSTL_I_18 (Default)
AF43,MGT0_RXP<9>,DIFF_HSTL_I_18 (Default)
BD43,MGT0_TXN<0>,DIFF_HSTL_I_18 (Default)
BB43,MGT0_TXN<1>,DIFF_HSTL_I_18 (Default)
AG41,MGT0_TXN<10>,DIFF_HSTL_I_18 (Default)
AE41,MGT0_TXN<11>,DIFF_HSTL_I_18 (Default)
AY43,MGT0_TXN<2>,DIFF_HSTL_I_18 (Default)
AV43,MGT0_TXN<3>,DIFF_HSTL_I_18 (Default)
AT43,MGT0_TXN<4>,DIFF_HSTL_I_18 (Default)
AP43,MGT0_TXN<5>,DIFF_HSTL_I_18 (Default)
AM43,MGT0_TXN<6>,DIFF_HSTL_I_18 (Default)
AL41,MGT0_TXN<7>,DIFF_HSTL_I_18 (Default)
AK43,MGT0_TXN<8>,DIFF_HSTL_I_18 (Default)
AJ41,MGT0_TXN<9>,DIFF_HSTL_I_18 (Default)
BD42,MGT0_TXP<0>,DIFF_HSTL_I_18 (Default)
BB42,MGT0_TXP<1>,DIFF_HSTL_I_18 (Default)
AG40,MGT0_TXP<10>,DIFF_HSTL_I_18 (Default)
AE40,MGT0_TXP<11>,DIFF_HSTL_I_18 (Default)
AY42,MGT0_TXP<2>,DIFF_HSTL_I_18 (Default)
AV42,MGT0_TXP<3>,DIFF_HSTL_I_18 (Default)
AT42,MGT0_TXP<4>,DIFF_HSTL_I_18 (Default)
AP42,MGT0_TXP<5>,DIFF_HSTL_I_18 (Default)
AM42,MGT0_TXP<6>,DIFF_HSTL_I_18 (Default)
AL40,MGT0_TXP<7>,DIFF_HSTL_I_18 (Default)
